PC,Eigenvalue,Explained variance ratio,Cumulative explained variance
145,0.2582655609019809,0.0004603038008720777,0.9788708146748788
146,0.25262438735124704,0.0004502496007777518,0.9793210642756566
147,0.24838518594276943,0.00044269411984498787,0.9797637583955016
148,0.24555422640143298,0.00043764853253384494,0.9802014069280354
149,0.24109099304509035,0.00042969376198322064,0.9806311006900186
150,0.23712917578787077,0.00042263265969962624,0.9810537333497182
151,0.23352542983476066,0.00041620974386911204,0.9814699430935874
152,0.22949779812275586,0.0004090313412238893,0.9818789744348113
153,0.22846968926630593,0.00040719895438655264,0.9822861733891979
154,0.22339405454719108,0.0003981527077832994,0.9826843260969812
155,0.21759627868001366,0.0003878193971438718,0.983072145494125
156,0.21641103305978093,0.0003857069472219592,0.983457852441347
157,0.21315095765501668,0.0003798965515396944,0.9838377489928867
158,0.2070006567984136,0.00036893493958139057,0.984206683932468
159,0.20355114537327018,0.00036278691421323943,0.9845694708466812
160,0.19885119901002526,0.00035441025273603375,0.9849238810994173
161,0.19509937799144839,0.00034772342438380867,0.9852716045238011
162,0.19462598113123805,0.00034687969449076874,0.9856184842182919
163,0.18802583933074002,0.00033511633608381117,0.9859536005543758
164,0.18667324969332538,0.00033270563080453305,0.9862863061851803
165,0.18295997248172463,0.0003260874986454404,0.9866123936838258
166,0.17680743090437048,0.00031512189307577465,0.9869275155769016
167,0.16973301773153812,0.00030251324614266644,0.9872300288230443
168,0.16167839877788567,0.0002881575894844811,0.9875181864125289
169,0.15343209642612107,0.00027346029766438354,0.9877916467101933
170,0.15001732554251918,0.0002673741899722092,0.9880590209001655
171,0.14551302588287796,0.00025934622741166267,0.9883183671275771
172,0.14248435654729974,0.00025394826416064886,0.9885723153917378
173,0.138465948850445,0.00024678630137375655,0.9888191016931116
174,0.1354336008789265,0.00024138178173133143,0.989060483474843
175,0.1340639525880618,0.0002389406730061064,0.9892994241478491
176,0.1281274742858847,0.00022836015457870432,0.9895277843024278
177,0.12672110118210955,0.0002258535916329864,0.9897536378940608
178,0.12581669629239764,0.00022424168098253894,0.9899778795750434
179,0.12051898152997792,0.0002147996236189425,0.9901926791986623
180,0.11696808852001356,0.00020847090699382105,0.9904011501056561
181,0.11497467543541519,0.00020491806930092785,0.990606068174957
182,0.11118814511592434,0.00019816937895254452,0.9908042375539096
183,0.11041212911381619,0.00019678629437068848,0.9910010238482803
184,0.10584196775474296,0.00018864094724491156,0.9911896647955252
185,0.10240390980756432,0.00018251333528155963,0.9913721781308067
186,0.101077823175522,0.0001801498660103067,0.991552327996817
187,0.09815665771646742,0.00017494350570782189,0.9917272715025248
188,0.09631367503443784,0.00017165877842743315,0.9918989302809522
189,0.09422840578834901,0.000167942226532306,0.9920668725074845
190,0.09212265357056545,0.00016418916806738563,0.9922310616755519
191,0.0875790853347203,0.00015609121756567348,0.9923871528931175
192,0.08713396554157406,0.0001552978855708344,0.9925424507786883
193,0.0833899002535182,0.00014862488016977976,0.9926910756588581
194,0.08222359147857386,0.0001465461811739772,0.992837621840032
195,0.08056132736847707,0.0001435835465692759,0.9929812053866013
196,0.07777496962506489,0.00013861745254031341,0.9931198228391416
197,0.07669176272354225,0.00013668686507770176,0.9932565097042193
198,0.07381057054006317,0.00013155174869413684,0.9933880614529135
199,0.06994437287403645,0.0001246610681311551,0.9935127225210446
200,0.06923144091676042,0.00012339041753201512,0.9936361129385767
201,0.06782167511429715,0.00012087780781763048,0.9937569907463943
202,0.06655487015894451,0.00011861999561117175,0.9938756107420055
203,0.06463431753477857,0.000115197016296427,0.993990807758302
204,0.06250716933271534,0.00011140582400966479,0.9941022135823117
205,0.06082257083315185,0.00010840338307412414,0.9942106169653858
206,0.059038276639446045,0.00010522325562558494,0.9943158402210114
207,0.057860373806530065,0.00010312389267081998,0.9944189641136822
208,0.05569181558580581,9.925889577411563e-05,0.9945182230094564
209,0.05544715713731726,9.882284377646857e-05,0.9946170458532329
210,0.05439386289265178,9.694556930532756e-05,0.9947139914225381
211,0.053460653639331154,9.52823209619857e-05,0.9948092737435001
212,0.05217866327742907,9.299744397643646e-05,0.9949022711874765
213,0.05105737357308405,9.099898196320416e-05,0.9949932701694397
214,0.05064633484367539,9.026639226447834e-05,0.9950835365617042
215,0.05018422491179803,8.94427789367044e-05,0.995172979340641
216,0.04972318860847329,8.862107912500966e-05,0.995261600419766
217,0.04923138373566827,8.774454083841452e-05,0.9953493449606043
218,0.04773102529580943,8.50704688865617e-05,0.995434415429491
219,0.046075055766492255,8.211905304230077e-05,0.9955165344825333
220,0.04590624280568034,8.181817960324521e-05,0.9955983526621366
221,0.04523005609601087,8.061301964512686e-05,0.9956789656817817
222,0.044583559534736215,7.946077610415241e-05,0.9957584264578858
223,0.04390483839306342,7.825109905641473e-05,0.9958366775569423
224,0.04284882510966084,7.636897847315162e-05,0.9959130465354155
225,0.042167406232227755,7.515449328134752e-05,0.9959882010286968
226,0.041531292827070826,7.402075552259717e-05,0.9960622217842194
227,0.04030824669246289,7.184093416958449e-05,0.996134062718389
228,0.03986254297911743,7.104656146034984e-05,0.9962051092798494
229,0.039389458236419365,7.020338785083728e-05,0.9962753126677002
230,0.03868592655677441,6.894949126066281e-05,0.9963442621589609
231,0.038189944765413965,6.806550849916253e-05,0.99641232766746
232,0.037404954941043664,6.666642997494268e-05,0.996478994097435
233,0.036580165017922744,6.519641618290775e-05,0.9965441905136179
234,0.036374264639212624,6.482944225657291e-05,0.9966090199558745
235,0.03508405884193982,6.252992299307631e-05,0.9966715498788675
236,0.034626267313898076,6.171400630782912e-05,0.9967332638851754
237,0.03417636437417094,6.091214936470181e-05,0.99679417603454
238,0.03342343465210142,5.9570211199784455e-05,0.9968537462457397
239,0.03333003033753376,5.9403737741754704e-05,0.9969131499834815
240,0.03287286452891864,5.858893626919537e-05,0.9969717389197507
241,0.032331398026704296,5.7623886619742624e-05,0.9970293628063704
242,0.03200129508498893,5.703554786400622e-05,0.9970863983542344
243,0.031490005632425794,5.612428243032365e-05,0.9971425226366647
244,0.030616966064940264,5.4568273840476e-05,0.9971970909105051
245,0.029853472392145357,5.320750766514123e-05,0.9972502984181703
246,0.029763139486135237,5.304650834399651e-05,0.9973033449265143
247,0.02898786873778874,5.166475201952756e-05,0.9973550096785339
248,0.028825324510391985,5.137505127344575e-05,0.9974063847298072
249,0.028018460862811446,4.9936987280439e-05,0.9974563217170876
250,0.027309964952361605,4.867424299760309e-05,0.9975049959600852
251,0.026878603223583084,4.790543184595728e-05,0.9975529013919312
252,0.026443694644199232,4.7130299182418604e-05,0.9976000316911137
253,0.025946860838038998,4.624479788453517e-05,0.9976462764889982
254,0.025386670100211277,4.524637624080196e-05,0.997691522865239
255,0.024783745783933567,4.4171791021419354e-05,0.9977356946562604
256,0.024197258006863887,4.312650046077566e-05,0.9977788211567212
257,0.02385861038055408,4.2522932609908106e-05,0.9978213440893311
258,0.023603782560920772,4.2068755856586845e-05,0.9978634128451876
259,0.022773763269815082,4.058942182088048e-05,0.9979040022670085
260,0.02271481780313028,4.048436397939192e-05,0.9979444866309879
261,0.02241794783273353,3.995525597420083e-05,0.9979844418869621
262,0.021764167719962223,3.879003104141383e-05,0.9980232319180036
263,0.02165729166469641,3.859954705164278e-05,0.9980618314650552
264,0.021321764948306995,3.800154156338184e-05,0.9980998330066186
265,0.021077866288507597,3.756684372855949e-05,0.9981373998503472
266,0.020376112555926258,3.6316115953415085e-05,0.9981737159663007
267,0.019982836912160847,3.5615185202201465e-05,0.9982093311515029
268,0.019609015385725303,3.494892730523243e-05,0.9982442800788082
269,0.019444524027962814,3.4655756210626364e-05,0.9982789358350188
270,0.018813505228965587,3.353109851106419e-05,0.9983124669335299
271,0.01856340904054321,3.308535489076736e-05,0.9983455522884207
272,0.01826093160202174,3.254625275828317e-05,0.998378098541179
273,0.01803706555580895,3.2147258825069364e-05,0.998410245800004
274,0.01781464713069313,3.175084497063505e-05,0.9984419966449747
275,0.017399103049379996,3.101022543394458e-05,0.9984730068704086
276,0.017077050478388905,3.0436234763294973e-05,0.9985034431051719
277,0.016479558041529934,2.937133072143209e-05,0.9985328144358934
278,0.016384927166305643,2.9202671178156306e-05,0.9985620171070715
279,0.016163690000960924,2.8808362669709886e-05,0.9985908254697412
280,0.01568940150780795,2.7963043629316956e-05,0.9986187885133705
281,0.015664304652773173,2.7918313787203675e-05,0.9986467068271577
282,0.015498961023067706,2.762362369791106e-05,0.9986743304508556
283,0.015049706415794393,2.6822922270415343e-05,0.998701153373126
284,0.014727608439240692,2.624885067394281e-05,0.9987274022238
285,0.014578117090765797,2.598241392697521e-05,0.9987533846377269
286,0.014435399290277288,2.5728049598306953e-05,0.9987791126873252
287,0.014134026561517217,2.519091637759039e-05,0.9988043036037028
288,0.013842633952672987,2.4671570612213894e-05,0.998828975174315
289,0.013637476363334877,2.4305920551012254e-05,0.998853281094866
290,0.013531474195613671,2.4116994081171123e-05,0.9988773980889473
291,0.013409571500009689,2.389972827954006e-05,0.9989012978172268
292,0.012906046570901705,2.300230146857546e-05,0.9989243001186954
293,0.012862425634000923,2.292455636395173e-05,0.9989472246750594
294,0.012676463729927779,2.2593118556435596e-05,0.9989698177936158
295,0.01257270365443537,2.2408188142325693e-05,0.9989922259817582
296,0.012275365415575834,2.1878245547526542e-05,0.9990141042273057
297,0.012090582258756274,2.154890860796662e-05,0.9990356531359137
298,0.012076202412543586,2.152327956999292e-05,0.9990571764154836
299,0.011704132711946234,2.0860143932488012e-05,0.9990780365594161
300,0.01162826536417604,2.0724926412897946e-05,0.999098761485829
301,0.011331424110866645,2.0195869589848265e-05,0.9991189573554189
302,0.011050171386639678,1.969459602664007e-05,0.9991386519514456
303,0.010966389343213657,1.9545272234109855e-05,0.9991581972236797
304,0.010844762812702188,1.9328498638413287e-05,0.9991775257223181
305,0.010635899300967309,1.8956243553456207e-05,0.9991964819658715
306,0.010488290767188902,1.8693162525919818e-05,0.9992151751283974
307,0.010412929893386465,1.855884768917909e-05,0.9992337339760866
308,0.010225210438331914,1.822427741834054e-05,0.999251958253505
309,0.01010160614524967,1.800397887868563e-05,0.9992699622323836
310,0.009897252838790723,1.7639762281802508e-05,0.9992876019946654
311,0.009675240470717508,1.724407213826263e-05,0.9993048460668036
312,0.00955592532277593,1.7031418093691948e-05,0.9993218774848973
313,0.009202605082550353,1.640169940827034e-05,0.9993382791843056
314,0.009170003277238098,1.6343593577790614e-05,0.9993546227778835
315,0.009015296007808168,1.6067860553641242e-05,0.9993706906384371
316,0.008896002383967518,1.585524487123326e-05,0.9993865458833083
317,0.008865621061640289,1.5801096582572926e-05,0.9994023469798909
318,0.008675118234416688,1.546156553886098e-05,0.9994178085454298
319,0.008543965496334651,1.5227813490685831e-05,0.9994330363589206
320,0.008503858601877934,1.5156331424338594e-05,0.9994481926903449
321,0.008309104665788686,1.4809223677167061e-05,0.999463001914022
322,0.008245212123934968,1.4695348719313868e-05,0.9994776972627414
323,0.007990874359518447,1.4242045385886984e-05,0.9994919393081273
324,0.007975366803674298,1.4214406443736247e-05,0.9995061537145711
325,0.007665384477516146,1.3661928434529596e-05,0.9995198156430056
326,0.007507128151357702,1.3379869966538851e-05,0.9995331955129722
327,0.007331015948174151,1.3065987170000947e-05,0.9995462615001421
328,0.00726924542005612,1.295589425333291e-05,0.9995592173943955
329,0.007063960949501971,1.2590018053168733e-05,0.9995718074124487
330,0.006927284504647579,1.2346421164615571e-05,0.9995841538336133
331,0.006844128317066743,1.219821282791048e-05,0.9995963520464413
332,0.006664359438156322,1.187781277940233e-05,0.9996082298592207
333,0.006483682536688257,1.1555794372514918e-05,0.9996197856535932
334,0.006375453394896228,1.1362898791865272e-05,0.9996311485523851
335,0.006212213238192775,1.1071957698816977e-05,0.9996422205100839
336,0.006161869994407772,1.0982231502333268e-05,0.9996532027415862
337,0.005928670933476025,1.0566603442084764e-05,0.9996637693450283
338,0.00585889171761546,1.0442236731438888e-05,0.9996742115817597
339,0.005749941950019649,1.0248056787534115e-05,0.9996844596385472
340,0.005514288153945116,9.828053680483349e-06,0.9996942876922277
341,0.005437348772924505,9.690925488103206e-06,0.9997039786177158
342,0.005350579031319803,9.53627675475354e-06,0.9997135148944705
343,0.00522550924615295,9.313366285059108e-06,0.9997228282607555
344,0.005075438957502472,9.045897699536e-06,0.9997318741584551
345,0.004910075218723204,8.7511717700676e-06,0.9997406253302251
346,0.004702944445113582,8.382004924758833e-06,0.9997490073351499
347,0.004593429015598045,8.186816807984442e-06,0.999757194151958
348,0.004573228330361547,8.15081335416696e-06,0.9997653449653121
349,0.00442063704819122,7.878851630282284e-06,0.9997732238169423
