threshold,accuracy,precision,recall,f1,specificity,balanced_accuracy,roc_auc,pr_auc_average_precision,tn,fp,fn,tp
0.82,0.972,1.0,0.17647058823529413,0.3,1.0,0.5882352941176471,0.9769550332210201,0.7507411094275329,1449,0,42,9
0.83,0.972,1.0,0.17647058823529413,0.3,1.0,0.5882352941176471,0.9769550332210201,0.7507411094275329,1449,0,42,9
0.84,0.972,1.0,0.17647058823529413,0.3,1.0,0.5882352941176471,0.9769550332210201,0.7507411094275329,1449,0,42,9
0.8499999999999999,0.972,1.0,0.17647058823529413,0.3,1.0,0.5882352941176471,0.9769550332210201,0.7507411094275329,1449,0,42,9
0.8599999999999999,0.972,1.0,0.17647058823529413,0.3,1.0,0.5882352941176471,0.9769550332210201,0.7507411094275329,1449,0,42,9
0.8699999999999999,0.9706666666666667,1.0,0.13725490196078433,0.24137931034482762,1.0,0.5686274509803921,0.9769550332210201,0.7507411094275329,1449,0,44,7
0.8799999999999999,0.9706666666666667,1.0,0.13725490196078433,0.24137931034482762,1.0,0.5686274509803921,0.9769550332210201,0.7507411094275329,1449,0,44,7
0.8899999999999999,0.9693333333333334,1.0,0.09803921568627451,0.17857142857142855,1.0,0.5490196078431373,0.9769550332210201,0.7507411094275329,1449,0,46,5
0.8999999999999999,0.9686666666666667,1.0,0.0784313725490196,0.14545454545454545,1.0,0.5392156862745098,0.9769550332210201,0.7507411094275329,1449,0,47,4
0.9099999999999999,0.9686666666666667,1.0,0.0784313725490196,0.14545454545454545,1.0,0.5392156862745098,0.9769550332210201,0.7507411094275329,1449,0,47,4
0.9199999999999999,0.9686666666666667,1.0,0.0784313725490196,0.14545454545454545,1.0,0.5392156862745098,0.9769550332210201,0.7507411094275329,1449,0,47,4
0.9299999999999999,0.9673333333333334,1.0,0.0392156862745098,0.07547169811320754,1.0,0.5196078431372549,0.9769550332210201,0.7507411094275329,1449,0,49,2
0.94,0.9666666666666667,1.0,0.0196078431372549,0.038461538461538464,1.0,0.5098039215686274,0.9769550332210201,0.7507411094275329,1449,0,50,1
0.95,0.9666666666666667,1.0,0.0196078431372549,0.038461538461538464,1.0,0.5098039215686274,0.9769550332210201,0.7507411094275329,1449,0,50,1
